year,games,reb,ast,stl,blk,pts
1946-47,331,0.0,6.9,0.0,0.0,67.8
1947-48,192,0.0,7.0,0.0,0.0,72.7
1948-49,360,0.0,18.6,0.0,0.0,80.0
1949-50,561,0.0,19.6,0.0,0.0,80.0
1950-51,354,49.5,21.0,0.0,0.0,84.1
1951-52,330,54.5,21.9,0.0,0.0,83.7
1952-53,351,51.5,21.0,0.0,0.0,82.7
1953-54,324,50.9,20.3,0.0,0.0,79.5
1954-55,288,56.1,23.6,0.0,0.0,93.1
1955-56,288,60.1,24.3,0.0,0.0,99.0
1956-57,288,62.4,18.9,0.0,0.0,99.6
1957-58,288,71.7,19.6,0.0,0.0,106.6
1958-59,288,70.0,19.6,0.0,0.0,108.2
1959-60,300,73.5,22.6,0.0,0.0,115.3
1960-61,316,73.3,24.2,0.0,0.0,118.1
1961-62,360,71.4,23.9,0.0,0.0,118.8
1962-63,360,66.7,22.7,0.0,0.0,115.3
1963-64,360,65.9,21.4,0.0,0.0,111.0
1964-65,360,67.3,21.0,0.0,0.0,110.6
1965-66,360,68.2,22.9,0.0,0.0,115.5
1966-67,405,67.3,22.4,0.0,0.0,117.4
1967-68,492,66.2,22.8,0.0,0.0,116.6
1968-69,574,56.9,23.1,0.0,0.0,112.3
1969-70,574,52.9,24.7,0.0,0.0,116.7
1970-71,697,53.1,24.3,0.0,0.0,112.4
1971-72,697,51.1,24.1,0.0,0.0,110.2
1972-73,697,50.6,25.2,0.0,0.0,107.6
1973-74,697,48.2,24.6,8.7,4.7,105.7
1974-75,738,47.1,23.8,8.8,4.3,102.6
1975-76,738,47.4,23.0,8.9,4.4,104.3
1976-77,902,47.1,23.9,9.4,5.1,106.5
1977-78,902,47.1,25.0,9.6,5.1,108.5
1978-79,902,45.2,25.8,9.1,5.4,110.3
1979-80,902,44.9,25.8,9.4,5.3,109.3
1980-81,943,43.5,25.5,9.0,5.3,108.1
1981-82,943,43.5,25.2,8.5,5.4,108.6
1982-83,943,44.5,25.9,8.9,5.6,108.5
1983-84,943,43.0,26.2,8.5,5.3,110.1
1984-85,943,43.5,26.3,8.5,5.3,110.8
1985-86,943,43.6,26.0,8.8,5.3,110.2
1986-87,943,44.0,26.0,8.6,5.5,109.9
1987-88,943,43.4,25.8,8.5,5.4,108.2
1988-89,1025,43.9,25.6,9.1,5.3,109.2
1989-90,1107,43.1,24.9,8.5,5.1,107.0
1990-91,1107,43.3,24.7,8.6,5.3,106.3
1991-92,1107,43.7,24.5,8.6,5.5,105.3
1992-93,1107,43.1,24.7,8.6,5.2,105.3
1993-94,1107,43.0,24.4,8.9,5.2,101.5
1994-95,1107,41.6,23.4,8.3,5.2,101.4
1995-96,1189,41.3,22.7,8.0,5.1,99.5
1996-97,1189,41.1,22.0,8.2,4.9,96.9
1997-98,1189,41.5,22.0,8.4,5.1,95.6
1998-99,725,41.7,20.7,8.4,5.0,91.6
1999-00,1189,42.9,22.3,7.9,5.2,97.5
2000-01,1189,42.5,21.8,7.8,5.3,94.8
2001-02,1189,42.4,21.9,7.8,5.2,95.5
2002-03,1189,42.3,21.5,7.9,5.0,95.1
2003-04,1189,42.2,21.3,7.9,5.1,93.4
2004-05,1230,41.9,21.3,7.5,4.9,97.2
2005-06,1230,41.0,20.6,7.2,4.7,97.0
2006-07,1230,41.1,21.3,7.2,4.6,98.7
2007-08,1230,42.0,21.8,7.3,4.7,99.9
2008-09,1230,41.3,21.0,7.3,4.8,100.0
2009-10,1230,41.7,21.2,7.2,4.9,100.4
2010-11,1230,41.4,21.5,7.3,4.9,99.6
2011-12,990,42.2,21.0,7.7,5.1,96.3
2012-13,1229,42.1,22.1,7.8,5.1,98.1
2013-14,1230,42.7,22.0,7.7,4.7,101.0
2014-15,1230,43.3,22.0,7.7,4.8,100.0
2015-16,1230,43.8,22.3,7.8,5.0,102.7
